ticket_id,customer_id,category,priority,created_at,resolved_at,resolution_hours,satisfaction_score,agent_name,channel,description
TKT-00001,CUST-255,Technical,Medium,2024-02-22T08:34:40Z,2024-02-22T18:34:40Z,10.0,6.0,Angie Henderson,chat,Term herself law street class.
TKT-00002,CUST-053,Onboarding,Low,2024-02-15T16:11:32Z,2024-02-15T18:11:32Z,2.0,,Jamie Arnold,phone,Decide environment view possible participant commercial.
TKT-00003,CUST-432,Technical,Low,2024-02-12T14:33:10Z,2024-02-14T06:33:10Z,40.0,1.0,Angie Henderson,chat,Support request: Clear here writer policy news.
TKT-00004,CUST-276,Account,Medium,2024-02-19T10:39:27Z,2024-02-20T17:39:27Z,31.0,10.0,Allison Hill,phone,Successful simply director allow firm environment.
TKT-00005,CUST-106,Technical,Low,2024-02-10T15:19:06Z,2024-02-13T04:19:06Z,61.0,6.0,Abigail Shaffer,phone,Tree note responsibility defense material.
TKT-00006,CUST-286,Security,Low,2024-02-01T17:14:16Z,2024-02-03T12:14:16Z,43.0,8.0,Dylan Miller,portal,Central cause seat much section investment on.
TKT-00007,CUST-138,Performance,Low,2024-02-10T09:33:59Z,,,,Monica Herrera,portal,Despite young meeting before another body.
TKT-00008,CUST-195,Billing,Medium,2024-02-18T22:18:30Z,2024-02-21T14:18:30Z,64.0,1.0,Gabrielle Davis,phone,Support request: Civil quite others his other life edge network.
TKT-00009,CUST-274,Feature Request,High,2024-02-21T08:27:31Z,2024-02-21T14:27:31Z,6.0,6.0,Allison Hill,portal,Quite boy those.
TKT-00010,CUST-108,Account,Low,2024-02-05T12:48:47Z,2024-02-06T21:48:47Z,33.0,,Daniel Wagner,portal,Customer escalation: Shoulder future fall citizen about.. Reach out at teresa28@example.org.
TKT-00011,CUST-260,Performance,Medium,2024-02-27T22:39:46Z,2024-02-29T20:39:46Z,46.0,,Dylan Miller,chat,Upon these story film.
TKT-00012,CUST-114,Onboarding,Medium,2024-02-27T14:42:48Z,2024-02-28T06:42:48Z,16.0,6.0,Monica Herrera,chat,Drive note bad rule.
TKT-00013,CUST-416,Performance,Medium,2024-02-21T00:15:00Z,2024-02-23T05:15:00Z,53.0,,Ryan Munoz,phone,Within mouth call process.
TKT-00014,CUST-359,Account,High,2024-02-09T14:34:47Z,,,,Ryan Munoz,chat,Close month parent who up sense ready.
TKT-00015,CUST-238,Integration,Low,2024-02-08T17:43:56Z,2024-02-10T22:43:56Z,53.0,4.0,Allison Hill,phone,Human public health tonight later.
TKT-00016,CUST-028,Security,High,2024-02-09T19:58:24Z,2024-02-12T03:58:24Z,56.0,1.0,Dylan Miller,phone,Different full open discover detail.
TKT-00017,CUST-259,Onboarding,Medium,2024-02-07T21:04:41Z,2024-02-09T09:04:41Z,36.0,3.0,Jamie Arnold,email,Remain arrive attack all.
TKT-00018,CUST-046,Billing,Critical,2024-02-05T06:03:55Z,2024-02-07T00:03:55Z,42.0,9.0,Abigail Shaffer,chat,Audience draw protect Democrat car very.
TKT-00019,CUST-069,Performance,Medium,2024-02-04T04:44:16Z,2024-02-05T12:44:16Z,32.0,5.0,Ryan Munoz,portal,Issue description: Office drug list imagine behind probably great.. Call +1-610-965-1333x87262 if urgent.
TKT-00020,CUST-182,Integration,Critical,2024-02-04T14:38:34Z,2024-02-06T02:38:34Z,36.0,4.0,Jamie Arnold,email,Themselves away space task better.
TKT-00021,CUST-340,Feature Request,Medium,2024-02-17T15:43:04Z,2024-02-19T18:43:04Z,51.0,2.0,Abigail Shaffer,portal,Structure why unit support coach magazine degree.
TKT-00022,CUST-147,Security,Medium,2024-02-16T23:52:17Z,2024-02-17T16:52:17Z,17.0,3.0,Jamie Arnold,chat,Support request: Total clearly able hospital unit size.
TKT-00023,CUST-370,Billing,High,2024-02-20T10:47:40Z,,,,Lisa Hensley,phone,Institution whatever yet new responsibility.
TKT-00024,CUST-135,Technical,Medium,2024-02-06T04:01:05Z,2024-02-08T12:01:05Z,56.0,7.0,Allison Hill,email,Support request: Couple design around save.
TKT-00025,CUST-004,Security,Low,2024-02-09T22:49:57Z,2024-02-10T04:49:57Z,6.0,,Gabrielle Davis,email,Security arm once me.
TKT-00026,CUST-145,Performance,Low,2024-02-08T19:27:35Z,2024-02-09T12:27:35Z,17.0,,Abigail Shaffer,email,Church whether bag control organization push dog.
TKT-00027,CUST-366,Integration,Low,2024-02-17T02:08:21Z,2024-02-17T14:08:21Z,12.0,1.0,Abigail Shaffer,email,Support request: Walk now often always.
TKT-00028,CUST-443,Technical,Low,2024-02-23T12:13:45Z,,,,Allison Hill,email,Information on mission various.
TKT-00029,CUST-145,Feature Request,Low,2024-02-16T01:53:56Z,2024-02-16T08:53:56Z,7.0,1.0,Gabrielle Davis,email,Prove fire enter capital population.
TKT-00030,CUST-256,Security,Medium,2024-02-14T21:41:10Z,2024-02-16T16:41:10Z,43.0,8.0,Lisa Hensley,chat,First sell authority leader your you available.
TKT-00031,CUST-031,Performance,Medium,2024-02-22T02:23:10Z,2024-02-23T16:23:10Z,38.0,9.0,Gina Moore,chat,Media car give attention each.
TKT-00032,CUST-173,Billing,Medium,2024-02-03T00:44:17Z,2024-02-05T07:44:17Z,55.0,,Jamie Arnold,email,Citizen street region particularly would.
TKT-00033,CUST-059,Technical,Low,2024-02-12T07:44:01Z,2024-02-15T05:44:01Z,70.0,5.0,Connie Lawrence,chat,Support request: Account stage federal professional voice care break.
TKT-00034,CUST-090,Feature Request,High,2024-02-03T11:57:59Z,2024-02-04T18:57:59Z,31.0,10.0,Allison Hill,email,Issue description: Score choice example decision.. Call 801-264-0052x427 if urgent.
TKT-00035,CUST-385,Performance,Medium,2024-02-17T02:48:23Z,2024-02-19T05:48:23Z,51.0,3.0,Jamie Arnold,email,Support request: Away third tough nation.. Email brandi26@example.org for details.
TKT-00036,CUST-290,Billing,Medium,2024-02-04T10:18:27Z,2024-02-06T20:18:27Z,58.0,4.0,Abigail Shaffer,email,User reported issue with Ten wish specific thing agent.. Please contact kimberly63@example.com or (616)507-3375 for follow-up.
TKT-00037,CUST-216,Billing,Medium,2024-02-03T07:30:06Z,2024-02-05T02:30:06Z,43.0,,Abigail Shaffer,email,Age cover foreign ten whom.
TKT-00038,CUST-330,Technical,Low,2024-02-13T16:46:22Z,2024-02-16T04:46:22Z,60.0,8.0,Abigail Shaffer,email,Go meeting quickly such former.
TKT-00039,CUST-151,Performance,High,2024-02-17T07:50:07Z,2024-02-19T23:50:07Z,64.0,9.0,Jamie Arnold,chat,Support request: Boy wife condition.
TKT-00040,CUST-201,Performance,Critical,2024-02-11T18:15:15Z,,,,Daniel Wagner,portal,Although others generation skill job.
TKT-00041,CUST-160,Security,High,2024-02-12T07:44:01Z,2024-02-13T08:44:01Z,25.0,3.0,Lisa Hensley,portal,Break tonight couple and job mind southern.
TKT-00042,CUST-062,Feature Request,Medium,2024-02-06T16:17:32Z,2024-02-07T08:17:32Z,16.0,,Gina Moore,chat,Hair attorney professional form finish.
TKT-00043,CUST-086,Billing,High,2024-02-25T19:01:19Z,2024-02-26T05:01:19Z,10.0,7.0,Cristian Santos,portal,Rest feel finally impact.
TKT-00044,CUST-078,Onboarding,Low,2024-02-20T23:38:50Z,,,,Gina Moore,chat,Recent never court professor here security.
TKT-00045,CUST-491,Security,Low,2024-02-25T15:38:33Z,2024-02-28T12:38:33Z,69.0,8.0,Noah Rhodes,email,Past feeling nature a.
TKT-00046,CUST-380,Performance,Low,2024-02-08T05:51:25Z,2024-02-11T01:51:25Z,68.0,6.0,Monica Herrera,portal,Decision size parent focus kid.
TKT-00047,CUST-129,Feature Request,Medium,2024-02-27T00:46:28Z,2024-02-27T18:46:28Z,18.0,4.0,Angie Henderson,portal,Memory soldier where save probably.
TKT-00048,CUST-356,Account,Low,2024-02-21T04:12:09Z,2024-02-23T17:12:09Z,61.0,10.0,Michele Williams,email,Middle plan friend stand seem.
TKT-00049,CUST-171,Security,High,2024-02-27T06:15:19Z,2024-03-01T00:15:19Z,66.0,7.0,Noah Rhodes,email,Different current agency each little.
TKT-00050,CUST-051,Security,Low,2024-02-09T21:56:58Z,2024-02-10T00:56:58Z,3.0,3.0,Ryan Munoz,portal,User reported issue with Lay though offer responsibility.. Please contact psnyder@example.org or +1-401-963-2870x8317 for follow-up.
TKT-00051,CUST-054,Performance,High,2024-02-09T04:44:39Z,2024-02-09T06:44:39Z,2.0,8.0,Dylan Miller,email,Support request: Write other wear through partner rest measure.
TKT-00052,CUST-349,Feature Request,Medium,2024-02-04T16:00:50Z,2024-02-04T17:00:50Z,1.0,10.0,Abigail Shaffer,chat,User reported issue with Knowledge city technology late seem style everyone.. Please contact rsims@example.com or 443-545-5812 for follow-up.
TKT-00053,CUST-407,Onboarding,High,2024-02-13T18:50:52Z,2024-02-13T19:50:52Z,1.0,6.0,Gina Moore,portal,Really relationship ask imagine my indeed.
TKT-00054,CUST-165,Performance,Low,2024-02-08T00:19:41Z,2024-02-08T19:19:41Z,19.0,6.0,Abigail Shaffer,chat,Support request: Strategy hope show watch affect.
TKT-00055,CUST-032,Technical,Low,2024-02-09T00:04:44Z,2024-02-10T08:04:44Z,32.0,,Angie Henderson,phone,Herself accept goal send table well industry.
TKT-00056,CUST-185,Billing,Low,2024-02-12T05:05:48Z,2024-02-12T14:05:48Z,9.0,6.0,Ryan Munoz,email,Son today major event magazine home protect.
TKT-00057,CUST-198,Technical,High,2024-02-08T00:44:16Z,,,,Gabrielle Davis,portal,Right subject try wonder move trade.
TKT-00058,CUST-053,Onboarding,Medium,2024-02-26T00:41:01Z,2024-02-27T04:41:01Z,28.0,4.0,Monica Herrera,portal,North agree poor career left anyone here deep.
TKT-00059,CUST-131,Integration,High,2024-02-28T14:17:31Z,2024-02-29T00:17:31Z,10.0,4.0,Cristian Santos,chat,Front they everything week instead strong.
TKT-00060,CUST-104,Feature Request,Low,2024-02-02T06:33:28Z,,,,Ryan Munoz,portal,Support request: Affect much yourself glass practice sit prepare.
TKT-00061,CUST-338,Onboarding,High,2024-02-03T09:43:57Z,2024-02-04T02:43:57Z,17.0,1.0,Abigail Shaffer,phone,Wear current after.
TKT-00062,CUST-455,Integration,High,2024-02-21T07:32:18Z,2024-02-21T17:32:18Z,10.0,6.0,Abigail Shaffer,email,Draw list boy way.
TKT-00063,CUST-289,Performance,High,2024-02-14T03:18:01Z,2024-02-15T16:18:01Z,37.0,10.0,Daniel Wagner,chat,Support request: Record short cold parent security boy standard.
TKT-00064,CUST-187,Onboarding,Low,2024-02-06T22:34:51Z,2024-02-08T11:34:51Z,37.0,10.0,Michele Williams,chat,Blue agent find quality when.
TKT-00065,CUST-076,Account,Critical,2024-02-23T15:06:35Z,2024-02-24T07:06:35Z,16.0,5.0,Ryan Munoz,chat,Walk cup option store drug recent.
TKT-00066,CUST-057,Account,Low,2024-02-02T02:32:17Z,2024-02-03T07:32:17Z,29.0,9.0,Monica Herrera,chat,Sure outside building worker site.
TKT-00067,CUST-222,Onboarding,Medium,2024-02-22T07:37:34Z,2024-02-23T02:37:34Z,19.0,6.0,Monica Herrera,email,Support request: Mouth product attention positive actually information.
TKT-00068,CUST-348,Billing,Low,2024-02-15T19:09:21Z,2024-02-18T18:09:21Z,71.0,10.0,Jamie Arnold,portal,Black whether player stock religious itself safe.
TKT-00069,CUST-079,Billing,Medium,2024-02-08T09:37:14Z,,,,Lisa Hensley,portal,Support request: Pattern try simple let stay.. Email marcus31@example.com for details.
TKT-00070,CUST-328,Billing,High,2024-02-22T01:35:49Z,2024-02-22T19:35:49Z,18.0,3.0,Connie Lawrence,chat,Future they red everybody act.
TKT-00071,CUST-175,Onboarding,Low,2024-02-19T20:20:46Z,2024-02-22T15:20:46Z,67.0,4.0,Gabrielle Davis,email,Beat result major serve real.
TKT-00072,CUST-280,Technical,High,2024-02-05T06:49:14Z,2024-02-07T00:49:14Z,42.0,9.0,Cristian Santos,phone,Large admit family identify during professional hard.
TKT-00073,CUST-257,Account,Low,2024-02-24T12:30:19Z,2024-02-25T04:30:19Z,16.0,6.0,Dylan Miller,chat,Most international second former reflect even edge.
TKT-00074,CUST-164,Feature Request,Medium,2024-02-12T13:38:39Z,2024-02-13T21:38:39Z,32.0,1.0,Allison Hill,chat,Return firm sea week.
TKT-00075,CUST-272,Performance,Medium,2024-02-02T14:08:28Z,2024-02-03T07:08:28Z,17.0,3.0,Gabrielle Davis,phone,Support request: Course school everybody operation.
TKT-00076,CUST-290,Account,Low,2024-02-01T19:46:38Z,2024-02-03T20:46:38Z,49.0,4.0,Gina Moore,email,Support request: Others wonder strategy fast guess few remain.
TKT-00077,CUST-101,Account,Medium,2024-02-09T16:09:55Z,2024-02-11T22:09:55Z,54.0,2.0,Dylan Miller,phone,Ever window network recently.
TKT-00078,CUST-374,Performance,Low,2024-02-27T19:15:54Z,2024-02-29T03:15:54Z,32.0,2.0,Daniel Wagner,chat,Issue description: Point sell bill activity.. Call 2474116719 if urgent.
TKT-00079,CUST-260,Account,Low,2024-02-13T22:09:30Z,2024-02-16T15:09:30Z,65.0,,Monica Herrera,email,Specific we be easy.
TKT-00080,CUST-136,Feature Request,Medium,2024-02-21T04:12:15Z,2024-02-22T23:12:15Z,43.0,10.0,Daniel Wagner,chat,Share paper so difficult mission late kind.
TKT-00081,CUST-271,Onboarding,Medium,2024-02-25T19:55:47Z,2024-02-26T16:55:47Z,21.0,5.0,Daniel Wagner,phone,Wrong figure perform participant science way debate decision.
TKT-00082,CUST-016,Technical,Medium,2024-02-12T17:07:28Z,2024-02-14T07:07:28Z,38.0,3.0,Jamie Arnold,phone,Church community avoid able.
TKT-00083,CUST-160,Onboarding,Medium,2024-02-06T22:14:31Z,,,,Allison Hill,chat,Ready like allow explain executive teacher author.
TKT-00084,CUST-458,Billing,Medium,2024-02-06T16:44:28Z,2024-02-08T19:44:28Z,51.0,10.0,Abigail Shaffer,phone,Under skin person product value.
TKT-00085,CUST-129,Performance,High,2024-02-14T18:00:04Z,2024-02-16T05:00:04Z,35.0,1.0,Jamie Arnold,chat,Boy different chance enter central arrive.
